DATE,YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
1/1/1991,1991,1,1,0,29.5,22.8,26.2,74,1,270
1/2/1991,1991,1,2,0,29.5,24.2,26.9,69,2,140
1/3/1991,1991,1,3,4.9,28.6,22.6,25.6,75,2,140
1/4/1991,1991,1,4,0.6,30.3,20.8,25.6,63,2,140
1/5/1991,1991,1,5,0,29.2,22.2,25.7,70,2,90
1/6/1991,1991,1,6,0.2,28,22.8,25.4,75,1,180
1/7/1991,1991,1,7,0,28.8,21.4,25.1,72,1,90
1/8/1991,1991,1,8,0,30,22.2,26.1,74,2,270
1/9/1991,1991,1,9,0,29,22.7,25.9,71,1,200
1/10/1991,1991,1,10,0,29,22.5,25.8,68,2,180
1/11/1991,1991,1,11,0,30.1,23.5,26.8,68,2,180
1/12/1991,1991,1,12,0,29.7,23,26.4,72,1,90
1/13/1991,1991,1,13,0,29,23.1,26,72,1,140
1/14/1991,1991,1,14,0.2,28.2,22,25.1,72,1,220
1/15/1991,1991,1,15,1.1,26.2,22.2,24.2,78,1,20
1/16/1991,1991,1,16,0,28.7,21.8,25.3,66,1,140
1/17/1991,1991,1,17,0,30.2,21.5,25.9,64,2,290
1/18/1991,1991,1,18,0,29.3,20.8,25.1,67,2,140
1/19/1991,1991,1,19,0,29.4,21,25.2,70,2,90
1/20/1991,1991,1,20,0,30,20.8,25.4,71,1,290
1/21/1991,1991,1,21,0,29.8,23,26.4,68,2,90
1/22/1991,1991,1,22,0,31.6,22,26.8,57,2,90
1/23/1991,1991,1,23,0,30.8,23,26.9,64,2,20
1/24/1991,1991,1,24,0,30.8,22.9,26.9,61,3,90
1/25/1991,1991,1,25,0,30.5,21.5,26,62,2,110
1/26/1991,1991,1,26,0,29,21,25,67,2,90
1/27/1991,1991,1,27,0,27.8,22.2,25,68,1,90
1/28/1991,1991,1,28,0,29.8,22.3,26.1,69,2,140
1/29/1991,1991,1,29,0,29.8,22.5,26.2,70,1,90
1/30/1991,1991,1,30,0,29.8,24,26.9,67,2,240
1/31/1991,1991,1,31,15.5,29.2,23.8,26.5,80,1,20
2/1/1991,1991,2,1,4.5,28.5,24.1,26.3,81,1,40
2/2/1991,1991,2,2,0,29,24,26.5,73,2,90
2/3/1991,1991,2,3,0,28.9,24,26.5,74,1,340
2/4/1991,1991,2,4,0,30.2,23.5,26.9,73,1,290
2/5/1991,1991,2,5,0,29.3,23.2,26.3,73,1,270
2/6/1991,1991,2,6,0,30.6,24.8,27.7,69,2,270
2/7/1991,1991,2,7,0,31.6,23.2,27.4,64,2,110
2/8/1991,1991,2,8,0,31.4,24.8,28.1,63,2,40
2/9/1991,1991,2,9,0,33.5,24.6,29,61,2,90
2/10/1991,1991,2,10,0,32.5,24.9,28.7,62,2,90
2/11/1991,1991,2,11,0,30.5,23.8,27.2,68,2,140
2/12/1991,1991,2,12,0,30.4,22.4,26.4,62,2,180
2/13/1991,1991,2,13,0,31.3,23.6,27.5,66,3,180
2/14/1991,1991,2,14,0,31.6,24.8,28.2,66,2,360
2/15/1991,1991,2,15,0,32,23.9,28,69,2,180
2/16/1991,1991,2,16,0,30.8,22.4,26.6,68,2,40
2/17/1991,1991,2,17,0,30.8,22.4,26.6,64,2,90
2/18/1991,1991,2,18,0,27.3,23,25.2,71,2,90
2/19/1991,1991,2,19,0,30.5,22.8,26.7,63,2,90
