,YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
1/1/1991,1991.0,1.0,1.0,0.0,29.5,22.8,26.2,74.0,1.0,270.0
1/2/1991,1991.0,1.0,2.0,0.0,29.5,24.2,26.9,69.0,2.0,140.0
1/3/1991,1991.0,1.0,3.0,4.9,28.6,22.6,25.6,75.0,2.0,140.0
1/4/1991,1991.0,1.0,4.0,0.6,30.3,20.8,25.6,63.0,2.0,140.0
1/5/1991,1991.0,1.0,5.0,0.0,29.2,22.2,25.7,70.0,2.0,90.0
1/6/1991,1991.0,1.0,6.0,0.2,28.0,22.8,25.4,75.0,1.0,180.0
1/7/1991,1991.0,1.0,7.0,0.0,28.8,21.4,25.1,72.0,1.0,90.0
1/8/1991,1991.0,1.0,8.0,0.0,30.0,22.2,26.1,74.0,2.0,270.0
1/9/1991,1991.0,1.0,9.0,0.0,29.0,22.7,25.9,71.0,1.0,200.0
1/10/1991,1991.0,1.0,10.0,0.0,29.0,22.5,25.8,68.0,2.0,180.0
1/11/1991,1991.0,1.0,11.0,0.0,30.1,23.5,26.8,68.0,2.0,180.0
1/12/1991,1991.0,1.0,12.0,0.0,29.7,23.0,26.4,72.0,1.0,90.0
1/13/1991,1991.0,1.0,13.0,0.0,29.0,23.1,26.0,72.0,1.0,140.0
1/14/1991,1991.0,1.0,14.0,0.2,28.2,22.0,25.1,72.0,1.0,220.0
1/15/1991,1991.0,1.0,15.0,1.1,26.2,22.2,24.2,78.0,1.0,20.0
1/16/1991,1991.0,1.0,16.0,0.0,28.7,21.8,25.3,66.0,1.0,140.0
1/17/1991,1991.0,1.0,17.0,0.0,30.2,21.5,25.9,64.0,2.0,290.0
1/18/1991,1991.0,1.0,18.0,0.0,29.3,20.8,25.1,67.0,2.0,140.0
1/19/1991,1991.0,1.0,19.0,0.0,29.4,21.0,25.2,70.0,2.0,90.0
1/20/1991,1991.0,1.0,20.0,0.0,30.0,20.8,25.4,71.0,1.0,290.0
1/21/1991,1991.0,1.0,21.0,0.0,29.8,23.0,26.4,68.0,2.0,90.0
1/22/1991,1991.0,1.0,22.0,0.0,31.6,22.0,26.8,57.0,2.0,90.0
1/23/1991,1991.0,1.0,23.0,0.0,30.8,23.0,26.9,64.0,2.0,20.0
1/24/1991,1991.0,1.0,24.0,0.0,30.8,22.9,26.9,61.0,3.0,90.0
1/25/1991,1991.0,1.0,25.0,0.0,30.5,21.5,26.0,62.0,2.0,110.0
1/26/1991,1991.0,1.0,26.0,0.0,29.0,21.0,25.0,67.0,2.0,90.0
1/27/1991,1991.0,1.0,27.0,0.0,27.8,22.2,25.0,68.0,1.0,90.0
1/28/1991,1991.0,1.0,28.0,0.0,29.8,22.3,26.1,69.0,2.0,140.0
1/29/1991,1991.0,1.0,29.0,0.0,29.8,22.5,26.2,70.0,1.0,90.0
1/30/1991,1991.0,1.0,30.0,0.0,29.8,24.0,26.9,67.0,2.0,240.0
1/31/1991,1991.0,1.0,31.0,15.5,29.2,23.8,26.5,80.0,1.0,20.0
2/1/1991,1991.0,2.0,1.0,4.5,28.5,24.1,26.3,81.0,1.0,40.0
2/2/1991,1991.0,2.0,2.0,0.0,29.0,24.0,26.5,73.0,2.0,90.0
2/3/1991,1991.0,2.0,3.0,0.0,28.9,24.0,26.5,74.0,1.0,340.0
2/4/1991,1991.0,2.0,4.0,0.0,30.2,23.5,26.9,73.0,1.0,290.0
2/5/1991,1991.0,2.0,5.0,0.0,29.3,23.2,26.3,73.0,1.0,270.0
2/6/1991,1991.0,2.0,6.0,0.0,30.6,24.8,27.7,69.0,2.0,270.0
2/7/1991,1991.0,2.0,7.0,0.0,31.6,23.2,27.4,64.0,2.0,110.0
2/8/1991,1991.0,2.0,8.0,0.0,31.4,24.8,28.1,63.0,2.0,40.0
2/9/1991,1991.0,2.0,9.0,0.0,33.5,24.6,29.0,61.0,2.0,90.0
2/10/1991,1991.0,2.0,10.0,0.0,32.5,24.9,28.7,62.0,2.0,90.0
2/11/1991,1991.0,2.0,11.0,0.0,30.5,23.8,27.2,68.0,2.0,140.0
2/12/1991,1991.0,2.0,12.0,0.0,30.4,22.4,26.4,62.0,2.0,180.0
2/13/1991,1991.0,2.0,13.0,0.0,31.3,23.6,27.5,66.0,3.0,180.0
2/14/1991,1991.0,2.0,14.0,0.0,31.6,24.8,28.2,66.0,2.0,360.0
2/15/1991,1991.0,2.0,15.0,0.0,32.0,23.9,28.0,69.0,2.0,180.0
2/16/1991,1991.0,2.0,16.0,0.0,30.8,22.4,26.6,68.0,2.0,40.0
2/17/1991,1991.0,2.0,17.0,0.0,30.8,22.4,26.6,64.0,2.0,90.0
2/18/1991,1991.0,2.0,18.0,0.0,27.3,23.0,25.2,71.0,2.0,90.0
2/19/1991,1991.0,2.0,19.0,0.0,30.5,22.8,26.7,63.0,2.0,90.0
2/20/1991,1991.0,2.0,20.0,2.0,28.2,22.8,25.5,67.0,3.0,270.0
2/21/1991,1991.0,2.0,21.0,0.0,30.5,24.5,27.5,61.0,2.0,40.0
2/22/1991,1991.0,2.0,22.0,0.1,29.0,23.0,26.0,64.0,3.0,40.0
2/23/1991,1991.0,2.0,23.0,0.0,28.8,24.1,26.5,66.0,2.0,360.0
2/24/1991,1991.0,2.0,24.0,0.0,29.5,24.5,27.0,67.0,2.0,90.0
2/25/1991,1991.0,2.0,25.0,0.0,29.5,23.0,26.3,64.0,3.0,90.0
2/26/1991,1991.0,2.0,26.0,0.0,29.0,23.2,26.1,64.0,3.0,90.0
2/27/1991,1991.0,2.0,27.0,0.0,29.9,23.8,26.9,61.0,3.0,110.0
2/28/1991,1991.0,2.0,28.0,0.0,29.8,22.0,25.9,60.0,3.0,40.0
